[auto] roadmap=1000 candidates(filter=all)=594 already_done=204 todo=390 workers=10
[135/390] ok=True T2-RSI-7-25-75-short-BTC-2025-H1 sh=-0.1697 tr=45 elapsed=6.3s wall_avg=1s eta=0min pass=31
[136/390] ok=True T2-RSI-7-25-75-short-BTC-2024-H2 sh=2.5943 tr=54 elapsed=6.3s wall_avg=1s eta=0min pass=32
[137/390] ok=True T2-RSI-7-25-75-short-BTC-2025-H2 sh=-0.5528 tr=52 elapsed=6.4s wall_avg=1s eta=0min pass=32
[138/390] ok=True T2-RSI-7-25-75-long-SOL-2025-H1 sh=-0.8412 tr=108 elapsed=6.5s wall_avg=0s eta=0min pass=32
[139/390] ok=True T2-RSI-7-25-75-short-ETH-2024-H2 sh=1.4275 tr=82 elapsed=6.1s wall_avg=1s eta=0min pass=32
[140/390] ok=True T2-RSI-7-25-75-short-ETH-2025-H1 sh=-3.8711 tr=85 elapsed=6.1s wall_avg=1s eta=0min pass=32
[141/390] ok=True T2-RSI-7-25-75-short-SOL-2024-H2 sh=1.2415 tr=85 elapsed=6.1s wall_avg=1s eta=0min pass=32
[142/390] ok=True T2-RSI-7-25-75-short-ETH-2025-H2 sh=0.5153 tr=92 elapsed=6.3s wall_avg=1s eta=0min pass=32
[143/390] ok=True T2-RSI-7-25-75-short-SOL-2025-H1 sh=-0.8412 tr=108 elapsed=6.3s wall_avg=1s eta=0min pass=32
[144/390] ok=True T2-RSI-7-25-75-short-SOL-2025-H2 sh=-1.2952 tr=95 elapsed=6.4s wall_avg=1s eta=0min pass=32
[145/390] ok=True T2-RSI-7-30-70-long-BTC-2025-H1 sh=-0.6887 tr=53 elapsed=6.4s wall_avg=1s eta=0min pass=32
[146/390] ok=True T2-RSI-7-30-70-long-BTC-2025-H2 sh=-0.6879 tr=62 elapsed=6.3s wall_avg=1s eta=0min pass=32
[147/390] ok=True T2-RSI-7-30-70-long-ETH-2024-H2 sh=0.9103 tr=96 elapsed=6.4s wall_avg=1s eta=0min pass=32
[148/390] ok=True T2-RSI-7-30-70-long-BTC-2024-H2 sh=1.3174 tr=69 elapsed=6.5s wall_avg=1s eta=0min pass=32
[149/390] ok=True T2-RSI-7-30-70-long-ETH-2025-H1 sh=-4.5298 tr=98 elapsed=6.5s wall_avg=1s eta=0min pass=32
[150/390] ok=True T2-RSI-7-30-70-long-ETH-2025-H2 sh=0.4527 tr=103 elapsed=6.3s wall_avg=1s eta=0min pass=32
[151/390] ok=True T2-RSI-7-30-70-long-SOL-2024-H2 sh=1.9193 tr=113 elapsed=7.0s wall_avg=1s eta=0min pass=33
[152/390] ok=True T2-RSI-7-30-70-long-SOL-2025-H2 sh=-1.3594 tr=119 elapsed=6.8s wall_avg=1s eta=0min pass=33
[153/390] ok=True T2-RSI-7-30-70-short-BTC-2024-H2 sh=1.3174 tr=69 elapsed=6.7s wall_avg=1s eta=0min pass=33
[154/390] ok=True T2-RSI-7-30-70-short-BTC-2025-H1 sh=-0.6887 tr=53 elapsed=6.7s wall_avg=1s eta=0min pass=33
[155/390] ok=True T2-RSI-7-30-70-short-ETH-2025-H1 sh=-4.5298 tr=98 elapsed=6.6s wall_avg=1s eta=0min pass=33
[156/390] ok=True T2-RSI-7-30-70-short-BTC-2025-H2 sh=-0.6879 tr=62 elapsed=6.9s wall_avg=1s eta=0min pass=33
[157/390] ok=True T2-RSI-7-30-70-short-ETH-2024-H2 sh=0.9103 tr=96 elapsed=6.9s wall_avg=1s eta=0min pass=33
[158/390] ok=True T2-RSI-7-30-70-long-SOL-2025-H1 sh=-1.6085 tr=120 elapsed=7.5s wall_avg=1s eta=0min pass=33
[159/390] ok=True T2-RSI-7-30-70-short-ETH-2025-H2 sh=0.4527 tr=103 elapsed=6.9s wall_avg=1s eta=0min pass=33
[160/390] ok=True T2-RSI-7-30-70-short-SOL-2024-H2 sh=1.9193 tr=113 elapsed=6.9s wall_avg=1s eta=0min pass=34
[161/390] ok=True T2-RSI-7-35-65-long-BTC-2024-H2 sh=1.5474 tr=81 elapsed=6.4s wall_avg=1s eta=0min pass=35
[162/390] ok=True T2-RSI-7-35-65-long-BTC-2025-H1 sh=-1.4149 tr=60 elapsed=6.5s wall_avg=1s eta=0min pass=35
[163/390] ok=True T2-RSI-7-30-70-short-SOL-2025-H2 sh=-1.3594 tr=119 elapsed=6.8s wall_avg=1s eta=0min pass=35
[164/390] ok=True T2-RSI-7-35-65-long-BTC-2025-H2 sh=-0.793 tr=72 elapsed=6.7s wall_avg=1s eta=0min pass=35
[165/390] ok=True T2-RSI-7-30-70-short-SOL-2025-H1 sh=-1.6085 tr=120 elapsed=7.1s wall_avg=1s eta=0min pass=35
[166/390] ok=True T2-RSI-7-35-65-long-ETH-2024-H2 sh=1.3302 tr=114 elapsed=6.6s wall_avg=1s eta=0min pass=35
[167/390] ok=True T2-RSI-7-35-65-long-ETH-2025-H2 sh=-0.4325 tr=116 elapsed=6.5s wall_avg=1s eta=0min pass=35
[168/390] ok=True T2-RSI-7-35-65-long-ETH-2025-H1 sh=-3.1296 tr=115 elapsed=6.8s wall_avg=1s eta=0min pass=35
[169/390] ok=True T2-RSI-7-35-65-long-SOL-2024-H2 sh=2.281 tr=128 elapsed=6.5s wall_avg=1s eta=0min pass=36
[170/390] ok=True T2-RSI-7-35-65-long-SOL-2025-H1 sh=-1.7961 tr=142 elapsed=6.5s wall_avg=1s eta=0min pass=36
[171/390] ok=True T2-RSI-7-35-65-long-SOL-2025-H2 sh=-2.8282 tr=134 elapsed=6.9s wall_avg=1s eta=0min pass=36
[172/390] ok=True T2-RSI-7-35-65-short-BTC-2025-H1 sh=-1.4149 tr=60 elapsed=6.6s wall_avg=1s eta=0min pass=36
[173/390] ok=True T2-RSI-7-35-65-short-BTC-2024-H2 sh=1.5474 tr=81 elapsed=6.8s wall_avg=1s eta=0min pass=37
[174/390] ok=True T2-RSI-7-35-65-short-BTC-2025-H2 sh=-0.793 tr=72 elapsed=6.6s wall_avg=1s eta=0min pass=37
[175/390] ok=True T2-RSI-7-35-65-short-ETH-2025-H1 sh=-3.1296 tr=115 elapsed=6.7s wall_avg=1s eta=0min pass=37
[176/390] ok=True T2-RSI-7-35-65-short-ETH-2025-H2 sh=-0.4325 tr=116 elapsed=6.7s wall_avg=1s eta=0min pass=37
[177/390] ok=True T2-RSI-7-35-65-short-ETH-2024-H2 sh=1.3302 tr=114 elapsed=6.8s wall_avg=1s eta=0min pass=37
