t,ts_signal,ts_exec_next_open,signal,regime_active,close_tm1,close_tm2,mu_now,sigma_now,mu_prev,sigma_prev,lower_now,lower_prev
689,2025-02-02 17:00:00+00:00,2025-02-02 18:00:00+00:00,ENTER_LONG,True,3015.9,3081.19,3147.1393333333335,70.9107556455452,3154.419666666667,68.22387727100306,3040.7731998650156,3052.0838507601625
716,2025-02-03 20:00:00+00:00,2025-02-03 21:00:00+00:00,EXIT,True,2764.23,2732.7,2727.268666666666,190.9360947146686,2738.0433333333335,201.54352921611968,2440.864524594663,2435.728039509154
718,2025-02-03 22:00:00+00:00,2025-02-03 23:00:00+00:00,EXIT,True,2817.69,2704.12,2705.7203333333327,166.7095694610507,2714.503666666666,178.87502830157396,2455.6559791417567,2446.191124214305
742,2025-02-04 22:00:00+00:00,2025-02-04 23:00:00+00:00,ENTER_LONG,True,2639.59,2733.0,2769.642333333334,59.48932260965453,2771.6800000000007,55.940891781713084,2680.408349418852,2687.7686623274312
750,2025-02-05 06:00:00+00:00,2025-02-05 07:00:00+00:00,EXIT,True,2784.74,2729.16,2758.2290000000003,52.31547937592974,2761.4010000000003,56.54096835333944,2679.7557809361056,2676.589547469991
752,2025-02-05 08:00:00+00:00,2025-02-05 09:00:00+00:00,EXIT,True,2759.31,2744.72,2751.8720000000003,46.58466524512115,2755.0213333333336,50.04609107168664,2681.9950021323184,2679.952196725804
764,2025-02-05 20:00:00+00:00,2025-02-05 21:00:00+00:00,EXIT,True,2775.49,2723.01,2760.2393333333334,40.80796130931097,2760.9190000000003,41.223984551876256,2699.027391369367,2699.083023172186
784,2025-02-06 16:00:00+00:00,2025-02-06 17:00:00+00:00,ENTER_LONG,True,2705.57,2748.48,2789.856,34.71569871590275,2791.6299999999997,31.581611949571737,2737.782451926146,2744.257582075642
792,2025-02-07 00:00:00+00:00,2025-02-07 01:00:00+00:00,ENTER_LONG,True,2686.64,2700.5,2768.2996666666672,52.223482360800936,2770.101333333334,50.27105719552308,2689.964443125466,2694.6947475400493
804,2025-02-07 12:00:00+00:00,2025-02-07 13:00:00+00:00,EXIT,True,2762.69,2743.01,2742.9883333333337,51.49715707902934,2745.3039999999996,53.839662183189816,2665.7425977147896,2664.544506725215
812,2025-02-07 20:00:00+00:00,2025-02-07 21:00:00+00:00,ENTER_LONG,True,2659.3,2678.47,2715.942333333333,28.87092905598219,2720.354333333333,29.97040492256024,2672.6359397493597,2675.398725949493
836,2025-02-08 20:00:00+00:00,2025-02-08 21:00:00+00:00,EXIT,True,2637.89,2631.63,2635.684666666667,40.95752505001035,2640.288666666667,48.08880567819876,2574.2483790916513,2568.1554581493688
856,2025-02-09 16:00:00+00:00,2025-02-09 17:00:00+00:00,EXIT,False,2653.21,2627.63,2639.422666666667,20.679029463578672,2638.2823333333336,20.82998778737571,2608.4041224712987,2607.03735165227
862,2025-02-09 22:00:00+00:00,2025-02-09 23:00:00+00:00,ENTER_LONG,True,2552.38,2637.19,2641.8286666666672,23.466684573856764,2643.5906666666674,18.0416978013588,2606.628639805882,2616.5281199646292
865,2025-02-10 01:00:00+00:00,2025-02-10 02:00:00+00:00,EXIT,True,2642.71,2627.18,2642.317333333334,23.176732719595186,2641.948,23.255680940363764,2607.552234253941,2607.064478589454
866,2025-02-10 02:00:00+00:00,2025-02-10 03:00:00+00:00,ENTER_LONG,True,2574.69,2642.71,2640.210666666667,26.163296037685193,2642.317333333334,23.176732719595186,2600.965722610139,2607.552234253941
873,2025-02-10 09:00:00+00:00,2025-02-10 10:00:00+00:00,EXIT,True,2644.8,2637.03,2638.2266666666665,27.700280183099608,2638.0539999999996,27.674900734540405,2596.676246392017,2596.541648898189
902,2025-02-11 14:00:00+00:00,2025-02-11 15:00:00+00:00,ENTER_LONG,True,2634.47,2686.03,2678.065,24.843353738978195,2678.150333333333,24.69743272533044,2640.7999693915326,2641.1041842453374
906,2025-02-11 18:00:00+00:00,2025-02-11 19:00:00+00:00,ENTER_LONG,True,2640.79,2645.43,2678.6169999999993,24.483137755061858,2679.029333333333,23.940758402542123,2641.8922933674066,2643.11819572952
911,2025-02-11 23:00:00+00:00,2025-02-12 00:00:00+00:00,ENTER_LONG,True,2586.39,2622.12,2669.164666666666,37.8667859505164,2671.7789999999995,34.63090761636687,2612.3644877408915,2619.8326385754494
916,2025-02-12 04:00:00+00:00,2025-02-12 05:00:00+00:00,ENTER_LONG,True,2587.24,2596.65,2656.8496666666665,44.91052107493549,2659.419666666666,43.01980144718891,2589.4838850542633,2594.889964495883
929,2025-02-12 17:00:00+00:00,2025-02-12 18:00:00+00:00,EXIT,True,2648.36,2606.9,2622.198333333333,29.08791926594655,2623.821666666666,31.740610903943825,2578.566454434413,2576.21075031075
962,2025-02-14 02:00:00+00:00,2025-02-14 03:00:00+00:00,EXIT,True,2683.25,2675.27,2681.991,36.43235442570243,2681.8143333333337,36.438670729810596,2627.342468361446,2627.156327238618
999,2025-02-15 15:00:00+00:00,2025-02-15 16:00:00+00:00,ENTER_LONG,False,2688.68,2707.02,2718.4989999999993,19.808008876882784,2719.0679999999998,19.178432226505553,2688.786986684675,2690.3003516602416
1014,2025-02-16 06:00:00+00:00,2025-02-16 07:00:00+00:00,EXIT,False,2709.27,2703.38,2704.0369999999994,12.403710775409088,2704.5929999999994,12.985995572153845,2685.431433836886,2685.114006641769
1018,2025-02-16 10:00:00+00:00,2025-02-16 11:00:00+00:00,EXIT,False,2704.6,2696.79,2700.934,9.269964616976676,2701.5939999999996,10.168764133364471,2687.029053074535,2686.340853799953
1020,2025-02-16 12:00:00+00:00,2025-02-16 13:00:00+00:00,EXIT,False,2710.99,2695.9,2699.7326666666663,7.780556078384656,2700.115,8.566466307643996,2688.0618325490896,2687.2653005385337
1027,2025-02-16 19:00:00+00:00,2025-02-16 20:00:00+00:00,ENTER_LONG,False,2679.49,2688.24,2696.5783333333334,7.778774146497787,2697.603,7.4791675784586245,2684.9101721135867,2686.384248632312
1031,2025-02-16 23:00:00+00:00,2025-02-17 00:00:00+00:00,ENTER_LONG,False,2678.9,2686.89,2694.712333333334,9.499070720631329,2695.0510000000004,9.1021031818659,2680.463727252387,2681.3978452272017
1035,2025-02-17 03:00:00+00:00,2025-02-17 04:00:00+00:00,ENTER_LONG,False,2669.34,2679.99,2691.878333333333,12.622204266908206,2692.4373333333338,11.965957249166873,2672.945026932971,2674.4883974595837
1037,2025-02-17 05:00:00+00:00,2025-02-17 06:00:00+00:00,ENTER_LONG,False,2662.16,2671.88,2689.8040000000005,13.94989882878487,2690.9049999999997,12.995438366339679,2668.8791517568234,2671.4118424504904
1041,2025-02-17 09:00:00+00:00,2025-02-17 10:00:00+00:00,EXIT,False,2714.6,2681.59,2688.8043333333335,14.882117609922174,2688.001333333333,14.097838305530715,2666.4811569184503,2666.854575875037
1052,2025-02-17 20:00:00+00:00,2025-02-17 21:00:00+00:00,EXIT,True,2717.72,2700.99,2706.0150000000003,39.539029051474344,2705.1733333333336,39.54965337676452,2646.706456422789,2645.8488532681868
1073,2025-02-18 17:00:00+00:00,2025-02-18 18:00:00+00:00,ENTER_LONG,True,2635.41,2673.7,2716.3486666666663,39.98436442188648,2720.1666666666665,37.46249238312308,2656.3721200338364,2663.972928091982
1083,2025-02-19 03:00:00+00:00,2025-02-19 04:00:00+00:00,EXIT,True,2691.3,2669.88,2684.1590000000006,36.73769520533371,2685.532,37.735078852441774,2629.052457192,2628.9293817213374
1086,2025-02-19 06:00:00+00:00,2025-02-19 07:00:00+00:00,EXIT,True,2687.21,2666.19,2677.1316666666676,28.548973021030946,2679.0263333333337,30.940864832055905,2634.308207135121,2632.61503608525
1122,2025-02-20 18:00:00+00:00,2025-02-20 19:00:00+00:00,EXIT,False,2735.37,2713.36,2723.3293333333336,14.911566860066095,2723.0480000000007,14.760597865036921,2700.9619830432343,2700.9071032024453
1128,2025-02-21 00:00:00+00:00,2025-02-21 01:00:00+00:00,EXIT,False,2738.04,2728.55,2729.8400000000006,12.531526376835833,2728.937,12.879317308511832,2711.042710434747,2709.6180240372323
1146,2025-02-21 18:00:00+00:00,2025-02-21 19:00:00+00:00,ENTER_LONG,True,2672.65,2736.78,2749.8023333333335,32.367593225666674,2752.0710000000004,29.100753294946415,2701.2509434948333,2708.4198700575807
1163,2025-02-22 11:00:00+00:00,2025-02-22 12:00:00+00:00,EXIT,True,2733.5,2715.02,2716.102,55.97024277238757,2716.694333333333,56.244589172846005,2632.1466358414186,2632.327449574064
1204,2025-02-24 04:00:00+00:00,2025-02-24 05:00:00+00:00,ENTER_LONG,True,2718.08,2777.38,2789.8710000000005,24.123009534467293,2791.467333333334,20.654659996125705,2753.6864856982997,2760.4853433391454
1220,2025-02-24 20:00:00+00:00,2025-02-24 21:00:00+00:00,ENTER_LONG,True,2641.26,2650.49,2735.5260000000003,62.02261891708003,2741.2360000000012,60.95741494956405,2642.49207162438,2649.799877575655
1223,2025-02-24 23:00:00+00:00,2025-02-25 00:00:00+00:00,ENTER_LONG,True,2508.2,2636.79,2715.7849999999994,73.79528922408713,2725.7176666666664,64.67671635054526,2605.092066163869,2628.7025921408485
1231,2025-02-25 07:00:00+00:00,2025-02-25 08:00:00+00:00,ENTER_LONG,True,2480.71,2506.05,2633.131666666667,93.78930806452418,2643.957666666667,94.31365958627389,2492.447704569881,2502.487177287256
1246,2025-02-25 22:00:00+00:00,2025-02-25 23:00:00+00:00,EXIT,True,2513.83,2493.37,2491.966,90.35921051005258,2496.797333333334,95.14706059335491,2356.427184234921,2354.0767424433016
1250,2025-02-26 02:00:00+00:00,2025-02-26 03:00:00+00:00,EXIT,True,2486.34,2475.1,2470.314,64.72400552087814,2475.478,71.61042803018752,2373.2279917186825,2368.0623579547187
1265,2025-02-26 17:00:00+00:00,2025-02-26 18:00:00+00:00,ENTER_LONG,True,2398.69,2428.47,2458.2786666666666,37.31195668355589,2458.1553333333336,37.514287565613614,2402.310731641333,2401.8839019849133
1272,2025-02-27 00:00:00+00:00,2025-02-27 01:00:00+00:00,ENTER_LONG,True,2336.37,2349.0,2438.7509999999997,66.15258097005737,2441.5783333333334,63.47483076429232,2339.522128544914,2346.366087186895
1293,2025-02-27 21:00:00+00:00,2025-02-27 22:00:00+00:00,ENTER_LONG,True,2256.45,2292.41,2337.112,32.86126325427356,2343.0930000000003,33.94675606986136,2287.8201051185897,2292.1728658952084
1298,2025-02-28 02:00:00+00:00,2025-02-28 03:00:00+00:00,ENTER_LONG,True,2193.56,2294.8,2323.347333333333,35.752089256744505,2326.7716666666665,27.007358390302173,2269.7191994482164,2286.260629081213
1307,2025-02-28 11:00:00+00:00,2025-02-28 12:00:00+00:00,ENTER_LONG,True,2117.09,2143.63,2261.680333333333,92.66673597659279,2268.160666666667,89.0560706870802,2122.6802293684436,2134.576560636047
1315,2025-02-28 19:00:00+00:00,2025-02-28 20:00:00+00:00,EXIT,True,2228.11,2209.3,2215.3533333333335,79.52723358838917,2219.3193333333334,82.9572919412285,2096.0624829507497,2094.8833954214906
1337,2025-03-01 17:00:00+00:00,2025-03-01 18:00:00+00:00,EXIT,True,2209.94,2173.29,2209.720333333333,39.030898228910324,2206.625333333333,42.42455662571959,2151.1739859899676,2142.9884983947536
1340,2025-03-01 20:00:00+00:00,2025-03-01 21:00:00+00:00,EXIT,True,2223.31,2212.11,2217.536666666667,29.349825363856755,2215.15,31.607647175960444,2173.511928620882,2167.7385292360595
1346,2025-03-02 02:00:00+00:00,2025-03-02 03:00:00+00:00,EXIT,True,2220.53,2215.49,2218.9946666666665,27.685735284117378,2219.3153333333335,27.757279853921005,2177.4660637404904,2177.679413552452
1348,2025-03-02 04:00:00+00:00,2025-03-02 05:00:00+00:00,EXIT,True,2220.18,2209.81,2218.6133333333332,27.70585694196966,2218.7839999999997,27.73074017523994,2177.054547920379,2177.18788973714
1354,2025-03-02 10:00:00+00:00,2025-03-02 11:00:00+00:00,EXIT,True,2242.2,2212.59,2215.715333333333,24.92626108255218,2216.4080000000004,25.92146618795575,2178.3259417095046,2177.525800718067
1360,2025-03-02 16:00:00+00:00,2025-03-02 17:00:00+00:00,EXIT,True,2229.51,2196.23,2212.2336666666665,22.13779189279928,2212.3633333333332,22.24971345633218,2179.0269788274677,2178.988763148835
1387,2025-03-03 19:00:00+00:00,2025-03-03 20:00:00+00:00,ENTER_LONG,True,2193.33,2277.21,2385.0,101.87184180789774,2386.319,99.61274899496217,2232.1922372881536,2236.8998765075567
1411,2025-03-04 19:00:00+00:00,2025-03-04 20:00:00+00:00,EXIT,True,2148.06,2118.91,2136.0976666666666,80.43994503907177,2143.4186666666665,90.55413536418729,2015.4377491080588,2007.5874636203855
1456,2025-03-06 16:00:00+00:00,2025-03-06 17:00:00+00:00,EXIT,True,2257.49,2225.0,2247.3953333333334,39.076026899138824,2246.778666666666,39.05782693505731,2188.781292984625,2188.1919262640804
